 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              0,         0,           0,          0
 1,             0,               0,              0,         0,           0,          0
 2,             0,               0,              0,         1,           0,          7
 3,             1,               1,              5,         3,           0,          8
 4,             2,               1,              4,         4,           0,         10
 5,             3,               1,              3,         5,           0,         23
 6,             4,               1,              4,         8,           0,         20
 7,             5,               1,              5,        10,           0,         24
 8,             6,               1,              5,        12,           0,         24
 9,             8,               2,              6,        14,           0,         31
10,            11,               4,             10,        18,           0,         33
11,            12,               4,             10,        18,           0,         35
